adrid,adr_info
Gallbladder cancer,09.04.02.005;16.07.05.001;09.04.03.002;16.07.03.002
Pseudo-Bartter syndrome,14.05.01.006;20.05.03.013
Cholecystitis,09.03.01.001
Echocardiogram abnormal,13.14.02.002
Prostate examination abnormal,13.15.01.026
Choriocarcinoma,16.16.04.001
Blood pressure inadequately controlled,24.06.01.007
Genital injury,12.01.15.002;21.10.05.011
Enterococcal bacteraemia,11.02.08.001
Varicocele,21.12.02.002;24.10.03.001
Mucocutaneous candidiasis,11.03.03.003;23.11.03.007
Skin oedema,23.06.04.001
Grand mal convulsion,17.12.01.002
Allergic hepatitis,09.01.07.027;10.01.03.038
Lip swelling,07.05.04.005;10.01.05.005;23.04.01.007
Skin reaction,10.01.03.019;23.03.03.013
Urinary tract infection,11.01.14.004;20.08.02.001
Gastric pH decreased,13.05.04.001
Solar dermatitis,23.03.09.009
Fibroadenoma of breast,16.14.01.001;21.05.01.005
Hypercalcaemia of malignancy,05.08.02.001;14.04.01.009;16.32.01.001
Staring,19.01.01.003
Stridor,22.04.02.003;08.01.03.006;22.03.01.009;22.12.01.011;22.12.01.013;22.12.02.012
Impaired fasting glucose,05.06.02.004;14.06.02.004
Blood thyroid stimulating hormone increased,13.10.03.006
Glucose tolerance impaired,05.06.02.001;14.06.02.001
Mucosal haemorrhage,08.01.06.005;24.07.01.011
Neuroectodermal neoplasm,16.30.01.006;17.20.01.006
Pulseless electrical activity,02.03.04.020
Red blood cell sedimentation rate increased,13.01.03.001
Nasal dryness,22.04.03.002
Limb deformity,15.10.03.004
Facial paresis,17.04.03.002;17.04.03.008
Penis disorder,21.12.01.001
Goitre,05.02.01.001;14.11.01.008
Abortion infected,11.01.10.015;18.01.03.002
Psychiatric decompensation,19.01.02.010
Aphonia,17.02.08.009;19.19.01.002;22.12.03.001
Conjunctival ulcer,06.04.01.015
Sarcoma,15.09.03.002;16.33.01.002;15.09.03.021;15.09.03.025;15.09.03.036;16.33.01.003;16.33.01.006;16.33.09.001
Puberty,26.03.01.003
Herpes dermatitis,11.05.02.011;23.11.05.003
Sarcoma uterus,16.33.01.001;21.07.02.005
Otitis media chronic,04.05.01.003;11.01.05.006
Injection site hypersensitivity,08.02.03.006;10.01.03.017;12.07.03.006
Oesophageal varices haemorrhage,07.12.01.003;09.01.06.004;24.07.02.022
Anti-thyroid antibody positive,13.10.06.010
Nystagmus,06.05.02.006;17.02.02.006
Infusion site swelling,08.02.05.002;12.07.05.003
Creatinine renal clearance decreased,13.13.01.013
Sweat gland disorder,23.02.03.010
Urethral stenosis,20.07.03.003
Acquired lipoatrophic diabetes,14.08.04.026;23.07.01.007
Rash pustular,11.01.12.002;23.03.10.003
Eosinophilic pneumonia,01.02.04.003;22.01.01.004;01.02.04.006;22.01.01.009
Urine phosphorus increased,13.11.01.047
Monoplegia,17.01.04.003;17.01.04.002
Respiratory tract haemorrhage,22.02.07.011;24.07.01.036
Metastatic pain,16.32.03.004
Intestinal mass,07.11.01.010
Extremity contracture,15.03.05.012
Palmar erythema,23.03.06.010
Lhermitte's sign,17.02.06.014
Eyelash thickening,06.06.04.005
Injection site pain,08.02.03.010;12.07.03.011
Angioedema,10.01.05.009;22.04.02.008;23.04.01.001
Amnesia,17.03.02.001;19.20.01.001;19.14.01.005
Menopause,26.03.01.001
