adrid,adr_info
BADD_A01789,07.04.04.001
BADD_A01808,19.06.01.004
BADD_A01809,08.01.07.004;14.05.06.007
BADD_A01810,17.12.01.002
BADD_A01812,11.03.03.002;21.10.03.001
BADD_A01815,21.10.01.009;23.03.13.016
BADD_A01823,05.06.01.008;14.06.01.008;18.02.04.001
BADD_A01827,07.09.07.001;24.07.02.010
BADD_A01829,07.09.13.004
BADD_A01832,07.09.13.008
BADD_A01833,07.09.13.010
BADD_A01835,07.09.13.013
BADD_A01836,07.09.10.002;11.01.04.013
BADD_A01837,06.03.01.002
BADD_A01842,16.30.02.002;17.20.02.002
BADD_A01847,10.02.01.006;20.05.01.001
BADD_A01854,07.14.01.001
BADD_A01855,07.14.02.001
BADD_A01858,13.02.02.004
BADD_A01859,05.06.02.001;14.06.02.001
BADD_A01863,20.02.01.005
BADD_A01867,05.02.01.001;14.11.01.008
BADD_A01871,14.09.01.001;15.01.06.001
BADD_A01874,10.02.01.027;12.02.09.001
BADD_A01878,01.02.03.003
BADD_A01880,08.01.05.001;23.03.15.001
BADD_A01885,02.05.04.014;08.01.07.005
BADD_A01888,15.03.02.004
BADD_A01890,10.04.10.005;11.07.01.001;17.09.01.001
BADD_A01895,05.05.02.003;21.05.04.003
BADD_A01897,16.02.01.002;24.03.06.004
BADD_A01900,12.04.03.001;15.01.01.004;24.07.01.046
BADD_A01901,07.12.02.002;24.07.02.011
BADD_A01902,07.12.02.003;24.07.02.012
BADD_A01904,13.01.05.001
BADD_A01912,24.07.01.001
BADD_A01915,20.02.01.006;21.10.01.018;24.07.01.047
BADD_A01916,13.13.02.002
BADD_A01920,13.01.05.018
BADD_A01922,13.01.05.003
BADD_A01930,01.06.04.002
BADD_A01933,01.06.03.002
BADD_A01934,01.06.02.001;20.01.03.011
BADD_A01936,02.11.04.009;22.02.03.004;24.07.01.006
BADD_A01938,17.08.01.008;24.07.04.003
BADD_A01940,23.06.07.002;24.07.06.010
BADD_A01943,01.01.03.004;24.07.01.021
BADD_A01944,17.08.01.011;24.07.04.014
BADD_A01945,07.15.03.001;24.10.02.002
BADD_A01946,12.01.18.005;22.05.02.001;24.07.01.008
BADD_A01948,23.02.06.001
BADD_A01949,23.02.06.003
BADD_A01950,23.02.06.006
BADD_A01951,23.02.06.004
BADD_A01952,19.10.04.003
BADD_A01953,19.10.04.004
BADD_A01955,19.10.04.007
BADD_A01956,19.10.04.008
BADD_A01959,08.01.09.018
BADD_A01963,17.02.05.027
BADD_A01965,17.14.01.001
BADD_A01977,13.14.04.002
